Trial	target_talker_ID	target audio	left distractor	right distractor	target file	angle	target duration (sec)	prompt	MC_correct	MC_lure_1	MC_lure_2	MC_lure_3
t01	jkl	p01	p51	p36	p01_jkl.ogg	0	14	The target speaker best supports the statement that	onions and bay leaves go well with clams.	onions were once thought to be poisonous.	bay leaves are essential in many soups.	clam chowder is very nutritious.
t02	jkl	p02	p29	p57	p02_jkl.ogg	90	18	The target speaker best supports the statement that	people today are interested in Shakespeare’s work because of the characters.	Shakespeare’s characters are more interesting than fictional characters today.	academic scholars are putting together an anthology of Shakespeare’s work.	New Yorkers have a renewed interested in the work of Shakespeare. 
t03	jkl	p03	p39	p58	p03_jkl.ogg	60	16	The target speaker best supports the statement that	critical reading requires thoughtful and careful attention.	critical reading is a slow, dull, but essential process.	critical reading should take place at the same time each day.	readers should get in the habit of questioning the truth of what they read.
t04	jkl	p04	p54	p40	p04_jkl.ogg	90	16	The target speaker best supports the statement that	toxic insecticides such as DDT have not been banned throughout the world.	even a worldwide ban on toxic insecticides would not stop the spread of DDT pollution.	studies have proven that many countries have ignored their own anti-pollution laws.	DDT and toxaphene are the two most toxic insecticides in the world.
t05	jkl	p05	p46	p22	p05_jkl.ogg	60	18	The target speaker best supports the statement that	the police cannot search a person’s home unless they have legal authorization.	the police cannot search a person’s home unless they direct evidence of a crime.	the police cannot search a person’s home unless they read the person his or her consitutional rights.	the police cannot search a person’s home unless they have a reasonable belief that a crime has occurred.
t06	jkl	p06	p52	p31	p06_jkl.ogg	60	16	The target speaker best supports the statement that	figures are sometimes used to deceive people.	words are more truthful than figures.	the study of mathematics is more important than other disciplines.	the power of numbers is that they cannot lie.
t07	jkl	p07	p21	p44	p07_jkl.ogg	90	19	The target speaker best supports the statement that	red filters cut out some blue light on black and white film.	red filters were very popular in the old days of photography.	infrared rays are invisble to the naked eye.	black-and-white photography used to be very popular.
t08	jkl	p08	p32	p53	p08_jkl.ogg	0	19	The target speaker best supports the statement that	mail service today is more effective and dependable.	more people use the post office for urgent deliveries than any other delivery service.	Express Mail is a good way to send urgent mail.	mail was once delivered by horse and foot.
t09	jkl	p09	p35	p43	p09_jkl.ogg	15	12	The target speaker best supports the statement that	as reality TV gets more popular, more traditional television shows may be threatened.	reality TV is low quality.	reality TV shows get the highest ratings.	more and more people love to watch and participate in reality TV.
t10	jkl	p10	p56	p34	p10_jkl.ogg	0	13	The target speaker best supports the statement that	old-fashioned clocks were operated by an internal spring.	clocks have changed over the years.	old-fashioned clocks become fragile with age.	overwinding clocks used to be a common mistake.
